id,video_path,question,options,gold,pred_video,pred_7B_note,pred_72B_note,score_video,score_7B,score_72B,note_7B,note_72B
52214_clip_14_operation,videos/level_1/52214/clip_14.mp4,What is the person doing with the pipette to the 24-well plate?,"{""A"": ""Filling the wells with a cell sample"", ""B"": ""Coating the wells with matrix solution"", ""C"": ""Aspirating liquid from the wells"", ""D"": ""Mixing the contents inside the wells""}","""B""",A,A,A,0.0,0.0,0.0,"```json
{
  ""actions_performed"": [""pipette 100uL from tube into well A1""],
  ""objects_manipulated"": [""tube"", ""pipette"", ""well A1""],
  ""tool_object_interaction"": [""pipette吸取100微升液体并注入试管A1中""]
}
```","```json
{
  ""actions_performed"": [
    ""pipette liquid from a test tube into a multi-well plate""
  ],
  ""objects_manipulated"": [
    ""test tube"",
    ""multi-well plate"",
    ""pipette""
  ],
  ""tool_object_interaction"": [
    ""pipette tip inserts into test tube to aspirate liquid"",
    ""pipette dispenses liquid into a well of the multi-well plate""
  ]
}
```"
52214_clip_3_operation,videos/level_1/52214/clip_3.mp4,What is the person doing with the cell culture media?,"{""A"": ""Gently swirling the flask to mix the existing media"", ""B"": ""Adding fresh media without removing the old media"", ""C"": ""Adjusting the volume of media using a graduated pipette"", ""D"": ""Replacing the old media with fresh media""}","""D""",D,C,C,1.0,0.0,0.0,"```json
{
  ""actions_performed"": [
    ""pipette 100uL into well A1"",
    ""pipette 100uL into well B1"",
    ""pipette 100uL into well C1"",
    ""pipette 100uL into well A2"",
    ""pipette 100uL into well B2"",
    ""pipette 100uL into well C2""
  ],
  ""objects_manipulated"": [
    ""pipette"",
    ""microplate wells""
  ],
  ""tool_object_interaction"": [
    ""pipette吸取100微升液体并注入微孔板的A1、B1、C1、A2、B2、C2孔中""
  ]
}
```","```json
{
  ""actions_performed"": [
    ""pipette liquid into well A1""
  ],
  ""objects_manipulated"": [
    ""liquid"",
    ""well A1""
  ],
  ""tool_object_interaction"": [
    ""pipette tip touches the bottom of well A1""
  ]
}
```"
52214_clip_27_operation,videos/level_1/52214/clip_27.mp4,What is the person doing with the pipette to the cell pellet?,"{""A"": ""Transferring the pellet to a new tube"", ""B"": ""Measuring the volume of the pellet"", ""C"": ""Resuspending the pellet in liquid"", ""D"": ""Removing supernatant from the pellet""}","""C""",C,C,C,1.0,1.0,1.0,"```json
{
  ""actions_performed"": [""pipette 100uL from tube into well A1""],
  ""objects_manipulated"": [""tube labeled 'TPS RPE'"", ""well A1 of a 96-well plate""],
  ""tool_object_interaction"": [""pipette吸取100微升液体并注入96孔板的A1孔中""]
}
```","```json
{
  ""actions_performed"": [
    ""hold a labeled test tube""
  ],
  ""objects_manipulated"": [
    ""test tube labeled 'TRIS RPE'""
  ],
  ""tool_object_interaction"": [
    ""gloved hand holding the test tube""
  ]
}
```"
59358_clip_12_operation,videos/level_1/59358/clip_12.mp4,What is the person doing with the vial?,"{""A"": ""Positioning it beside a dose calibrator"", ""B"": ""Removing it from a dose calibrator"", ""C"": ""Inserting it into an activity meter"", ""D"": ""Placing it inside a dose calibrator""}","""D""",D,D,B,1.0,1.0,0.0,"```json
{
  ""actions_performed"": [
    ""pipette 100uL from well A1""
  ],
  ""objects_manipulated"": [
    ""pipette"",
    ""well A1""
  ],
  ""tool_object_interaction"": [
    ""pipette吸取100微升液体到针头中""
  ]
}
```","```json
{
  ""actions_performed"": [
    ""manipulate syringe with forceps"",
    ""place syringe on the work surface""
  ],
  ""objects_manipulated"": [
    ""syringe"",
    ""forceps""
  ],
  ""tool_object_interaction"": [
    ""forceps grip the syringe"",
    ""forceps release the syringe""
  ]
}
```"
59358_clip_19_operation,videos/level_1/59358/clip_19.mp4,What is the person doing with the pipette tip relative to the chromatography strip?,"{""A"": ""Mixing a spot directly on the silica surface"", ""B"": ""Touching the tip to the center for calibration"", ""C"": ""Applying sample to the top of the strip"", ""D"": ""Dispensing liquid 1.5 cm from the bottom edge""}","""D""",D,D,D,1.0,1.0,1.0,"```json
{
  ""actions_performed"": [""pipette 100uL from tube into well C2""],
  ""objects_manipulated"": [""pipette"", ""tube"", ""test tube rack""],
  ""tool_object_interaction"": [""pipette吸取100微升液体并注入试管架上的C2孔中""]
}
```","```json
{
  ""actions_performed"": [
    ""pipette liquid into a test tube""
  ],
  ""objects_manipulated"": [
    ""test tube"",
    ""pipette""
  ],
  ""tool_object_interaction"": [
    ""pipette tip is inserted into the test tube"",
    ""liquid is dispensed into the test tube""
  ]
}
```"
59358_clip_9_operation,videos/level_1/59358/clip_9.mp4,What is the person doing with the pipette after preparing the peptide solution?,"{""A"": ""Sealing the reaction vial before transferring"", ""B"": ""Returning excess solution to the stock buffer container"", ""C"": ""Drawing solution back into the pipette tip from the vial"", ""D"": ""Transferring the solution to a reaction vial""}","""D""",D,D,D,1.0,1.0,1.0,"```json
{
  ""actions_performed"": [
    ""inject solution into vial"",
    ""operate valve""
  ],
  ""objects_manipulated"": [
    ""syringe"",
    ""vial"",
    ""valve""
  ],
  ""tool_object_interaction"": [
    ""syringe injects solution into vial"",
    ""hand operates valve to control fluid flow""
  ]
}
```","```json
{
  ""actions_performed"": [
    ""insert syringe into vial"",
    ""draw liquid from vial""
  ],
  ""objects_manipulated"": [
    ""syringe"",
    ""vial"",
    ""vial cap""
  ],
  ""tool_object_interaction"": [
    ""syringe needle inserted into vial opening"",
    ""syringe plunger pulled to draw liquid""
  ]
}
```"
58580_clip_54_operation,videos/level_1/58580/clip_54.mp4,What is the researcher doing with the tube after centrifugation?,"{""A"": ""Resuspending the pelleted beads"", ""B"": ""Discarding the liquid supernatant"", ""C"": ""Collecting the supernatant (eluted RNP)"", ""D"": ""Removing the tube from the centrifuge rotor""}","""C""",D,D,D,0.0,0.0,0.0,"```json
{
  ""actions_performed"": [
    ""pipette 100uL from tube into well""
  ],
  ""objects_manipulated"": [
    ""pipette"",
    ""tube"",
    ""well""
  ],
  ""tool_object_interaction"": [
    ""pipette吸取100微升液体注入试管中""
  ]
}
```","```json
{
  ""actions_performed"": [
    ""pipette liquid into a test tube"",
    ""place test tube into a centrifuge""
  ],
  ""objects_manipulated"": [
    ""pipette"",
    ""test tube"",
    ""centrifuge""
  ],
  ""tool_object_interaction"": [
    ""pipette tip inserts into test tube"",
    ""test tube is secured into centrifuge chamber""
  ]
}
```"
58580_clip_48_operation,videos/level_1/58580/clip_48.mp4,What is the person doing with the Tris hydrochloride solution?,"{""A"": ""Discarding the solution from the beads"", ""B"": ""Mixing the beads with a different buffer"", ""C"": ""Removing residual liquid from the beads"", ""D"": ""Washing the beads""}","""D""",D,D,D,1.0,1.0,1.0,"```json
{
  ""actions_performed"": [""pipette 100uL from bottle into test tube""],
  ""objects_manipulated"": [""bottle labeled 'D2Water 100 mL', test tube with orange cap, pipette""],
  ""tool_object_interaction"": [""pipette吸取100微升液体至试管中""]
}
```","```json
{
  ""actions_performed"": [
    ""pipette liquid into a bottle""
  ],
  ""objects_manipulated"": [
    ""pipette"",
    ""bottle labeled 'Dulbecco's Modified Eagle Medium (DMEM)'""
  ],
  ""tool_object_interaction"": [
    ""pipette tip inserted into the bottle's opening""
  ]
}
```"
58580_clip_29_operation,videos/level_1/58580/clip_29.mp4,What is the researcher doing with the EDTA solution immediately after quenching?,"{""A"": ""Removing it from the reaction vessel"", ""B"": ""Swirling it manually in the container"", ""C"": ""Adding it to the reaction mixture"", ""D"": ""Vortex-mixing it before use""}","""C""",D,C,D,0.0,1.0,0.0,"```json
{
  ""actions_performed"": [
    ""pipette 100uL from bottle into test tube""
  ],
  ""objects_manipulated"": [
    ""pipette"",
    ""bottle"",
    ""test tube""
  ],
  ""tool_object_interaction"": [
    ""pipette吸取100微升液体注入试管""
  ]
}
```","```json
{
  ""actions_performed"": [
    ""pipette liquid into a test tube""
  ],
  ""objects_manipulated"": [
    ""pipette"",
    ""test tube"",
    ""test tube rack""
  ],
  ""tool_object_interaction"": [
    ""pipette tip inserted into test tube"",
    ""pipette draws liquid from a container"",
    ""pipette dispenses liquid into a test tube""
  ]
}
```"
62088_clip_15_operation,videos/level_1/62088/clip_15.mp4,What is the researcher doing with the needles through the specimen's eyes?,"{""A"": ""Inserting them at a 45-degree angle to fix the head position"", ""B"": ""Measuring depth by partially inserting them at an angle"", ""C"": ""Placing them through the ears instead of the eyes for support"", ""D"": ""Inserting them vertically at 90 degrees to stabilize the head""}","""A""",A,B,B,1.0,0.0,0.0,"```json
{
  ""actions_performed"": [""ignite flame using Bunsen burner""],
  ""objects_manipulated"": [""Bunsen burner flame""],
  ""tool_object_interaction"": [""ignition of the Bunsen burner flame by a matchstick""]
}
```","```json
{
  ""actions_performed"": [
    ""manipulate a small object with forceps"",
    ""expose the object to a flame""
  ],
  ""objects_manipulated"": [
    ""a small, translucent object with visible red specks"",
    ""a flame""
  ],
  ""tool_object_interaction"": [
    ""forceps hold the object securely"",
    ""the object is brought close to the flame""
  ]
}
```"
62088_clip_27_operation,videos/level_1/62088/clip_27.mp4,What is the person doing with the centrifuge?,"{""A"": ""Opening the centrifuge lid after completion"", ""B"": ""Removing sample tubes post-spin"", ""C"": ""Setting the centrifuge speed before starting"", ""D"": ""Centrifuging samples at high speed""}","""D""",A,A,A,0.0,0.0,0.0,"```json
{
  ""actions_performed"": [
    ""place lid back on centrifuge"",
    ""close centrifuge door""
  ],
  ""objects_manipulated"": [
    ""centrifuge lid"",
    ""centrifuge door""
  ],
  ""tool_object_interaction"": [
    ""lid placed on top of centrifuge"",
    ""door closed securely""
  ]
}
```","```json
{
  ""actions_performed"": [
    ""open the lid of the thermal cycler"",
    ""place a sample tray into the thermal cycler"",
    ""close the lid of the thermal cycler""
  ],
  ""objects_manipulated"": [
    ""thermal cycler lid"",
    ""sample tray"",
    ""thermal cycler""
  ],
  ""tool_object_interaction"": [
    ""gloved hands interact with the thermal cycler lid to open and close it"",
    ""gloved hands place the sample tray into the thermal cycler""
  ]
}
```"
62088_clip_13_operation,videos/level_1/62088/clip_13.mp4,What is the person doing with the mouse embryos immediately after collection?,"{""A"": ""Suspending them in room-temperature HBSS in a plate"", ""B"": ""Placing them in a 10 cm plate containing ice-cold HBSS on ice"", ""C"": ""Storing them directly on dry ice without solution"", ""D"": ""Transferring them to a 15 mL conical tube with HBSS""}","""B""",B,B,B,1.0,1.0,1.0,"```json
{
  ""actions_performed"": [""place tube into ice bath""],
  ""objects_manipulated"": [""tube"", ""ice bath""],
  ""tool_object_interaction"": [""tube is inserted into ice bath for cooling""]
}
```","```json
{
  ""actions_performed"": [
    ""place a pipette tip into a pipette""
  ],
  ""objects_manipulated"": [
    ""pipette"",
    ""pipette tip""
  ],
  ""tool_object_interaction"": [
    ""pipette tip is inserted into the pipette""
  ]
}
```"
63245_clip_14_operation,videos/level_1/63245/clip_14.mp4,What is the person doing with the supernatant in the 1.5 milliliter tubes?,"{""A"": ""Pouring it into a new container"", ""B"": ""Mixing it with a pipette"", ""C"": ""Discarding it after centrifugation"", ""D"": ""Selecting it""}","""D""",B,B,B,0.0,0.0,0.0,"```json
{
  ""actions_performed"": [
    ""pipette 100uL from tube into well A1""
  ],
  ""objects_manipulated"": [
    ""pipette"",
    ""tube"",
    ""well A1""
  ],
  ""tool_object_interaction"": [
    ""pipette吸取100微升液体并注入到A1孔中""
  ]
}
```","```json
{
  ""actions_performed"": [
    ""pipette liquid into a test tube"",
    ""place test tube into a rack""
  ],
  ""objects_manipulated"": [
    ""pipette"",
    ""test tube"",
    ""test tube rack""
  ],
  ""tool_object_interaction"": [
    ""pipette tip inserts into test tube"",
    ""pipette withdraws liquid from test tube""
  ]
}
```"
63245_clip_18_operation,videos/level_1/63245/clip_18.mp4,What is the person doing with the capped tubes?,"{""A"": ""Pouring sand over them in a beaker"", ""B"": ""Transferring them to a test tube rack"", ""C"": ""Removing them from a beaker containing sand"", ""D"": ""Placing them into a beaker partially filled with sand""}","""D""",B,B,B,0.0,0.0,0.0,"```json
{
  ""actions_performed"": [
    ""pipette 100uL from test tube into well""
  ],
  ""objects_manipulated"": [
    ""test tube"",
    ""pipette"",
    ""well""
  ],
  ""tool_object_interaction"": [
    ""pipette吸取100微升液体并注入试管中的特定孔中""
  ]
}
```","```json
{
  ""actions_performed"": [
    ""remove test tube from rack"",
    ""place test tube into rack""
  ],
  ""objects_manipulated"": [
    ""test tube"",
    ""test tube rack""
  ],
  ""tool_object_interaction"": [
    ""hand grasps test tube"",
    ""test tube is inserted into rack slot""
  ]
}
```"
63245_clip_10_operation,videos/level_1/63245/clip_10.mp4,What is the person doing with the pipette?,"{""A"": ""Injecting methanol-water solution with a syringe"", ""B"": ""Shaking the pulping tubes after liquid addition"", ""C"": ""Removing excess liquid from pulping tubes"", ""D"": ""Adding methanol-water solution to pulping tubes""}","""D""",D,D,D,1.0,1.0,1.0,"```json
{
  ""actions_performed"": [
    ""pipette 100uL from bottle onto well A1"",
    ""pipette 100uL from bottle onto well A2""
  ],
  ""objects_manipulated"": [
    ""pipette"",
    ""bottle labeled 'H2O'"",
    ""test tube rack"",
    ""test tubes""
  ],
  ""tool_object_interaction"": [
    ""pipette吸取100微升液体并注入试管架中的A1和A2孔中""
  ]
}
```","```json
{
  ""actions_performed"": [
    ""selects pipette from the pipette rack"",
    ""attaches pipette tip to the pipette""
  ],
  ""objects_manipulated"": [
    ""pipette"",
    ""pipette tip"",
    ""pipette rack""
  ],
  ""tool_object_interaction"": [
    ""pipette is picked up from the pipette rack"",
    ""pipette tip is attached to the pipette nozzle""
  ]
}
```"
56243_clip_8_operation,videos/level_1/56243/clip_8.mp4,What is the surgeon doing with the scalpel to the muscles along the thoracic vertebrae?,"{""A"": ""Cutting the attached muscles bilaterally from T8 to T10"", ""B"": ""Cutting the spinal ligaments adjacent to T8-T10"", ""C"": ""Cutting the attached muscles unilaterally at T9"", ""D"": ""Removing the detached muscles near T7-T11""}","""A""",A,A,A,1.0,1.0,1.0,"```json
{
  ""actions_performed"": [
    ""incise skin with scalpel"",
    ""expose muscle with forceps""
  ],
  ""objects_manipulated"": [
    ""rat's skin"",
    ""rat's muscle""
  ],
  ""tool_object_interaction"": [
    ""scalpel cuts through skin"",
    ""forceps hold and manipulate muscle""
  ]
}
```","```json
{
  ""actions_performed"": [
    ""incise the skin of the rat"",
    ""retract the skin edges with forceps""
  ],
  ""objects_manipulated"": [
    ""rat's skin"",
    ""forceps""
  ],
  ""tool_object_interaction"": [
    ""forceps are used to hold and pull the skin edges apart""
  ]
}
```"
56243_clip_24_operation,videos/level_1/56243/clip_24.mp4,What is the researcher doing with the non-reflective cover?,"{""A"": ""Covering the entire animal to prevent movement"", ""B"": ""Adjusting it to mark the animal's direction"", ""C"": ""Positioning it to expose only the surgical area"", ""D"": ""Removing it from the surgical field entirely""}","""C""",C,C,C,1.0,1.0,1.0,"```json
{
  ""actions_performed"": [
    ""position mouse under laser"",
    ""activate laser""
  ],
  ""objects_manipulated"": [
    ""mouse"",
    ""laser device""
  ],
  ""tool_object_interaction"": [
    ""the mouse is placed under the laser for treatment"",
    ""the laser is activated to emit light on the mouse""
  ]
}
```","```json
{
  ""actions_performed"": [
    ""positions the mouse on the blue surface"",
    ""adjusts the mouse's body orientation"",
    ""activates the laser device""
  ],
  ""objects_manipulated"": [
    ""a mouse"",
    ""a blue surface"",
    ""a laser device""
  ],
  ""tool_object_interaction"": [
    ""the laser device emits a red beam onto the mouse's body""
  ]
}
```"
56243_clip_32_operation,videos/level_1/56243/clip_32.mp4,What is the researcher doing with the apparatus controls?,"{""A"": ""Adjusting the probe's position along the x- and y-axes"", ""B"": ""Calibrating the z-axis depth of the probe"", ""C"": ""Aligning the probe vertically to avoid obstructions"", ""D"": ""Removing the probe from the apparatus""}","""A""",B,B,B,0.0,0.0,0.0,"```json
{
  ""actions_performed"": [
    ""insert needle into tissue"",
    ""apply pressure to needle""
  ],
  ""objects_manipulated"": [
    ""tissue sample"",
    ""needle""
  ],
  ""tool_object_interaction"": [
    ""needle is inserted into the tissue sample"",
    ""pressure is applied to the needle to possibly extract or inject material""
  ]
}
```","```json
{
  ""actions_performed"": [
    ""positions a tissue sample on a platform"",
    ""adjusts the clamp holding the tissue"",
    ""applies a substance from a pipette onto the tissue""
  ],
  ""objects_manipulated"": [
    ""tissue sample"",
    ""clamp"",
    ""pipette""
  ],
  ""tool_object_interaction"": [
    ""the clamp secures the tissue sample in place"",
    ""the pipette deposits a liquid onto the surface of the tissue""
  ]
}
```"
65126_clip_17_operation,videos/level_1/65126/clip_17.mp4,What is the person doing with the pipette?,"{""A"": ""Removing excess liquid from a sample"", ""B"": ""Adding a precise volume of liquid to a container"", ""C"": ""Adjusting the pipette volume setting"", ""D"": ""Mixing solutions within the same tube""}","""B""",B,B,B,1.0,1.0,1.0,"```json
{
  ""actions_performed"": [
    ""pipette 100uL from test tube into well A1""
  ],
  ""objects_manipulated"": [
    ""test tube"",
    ""pipette"",
    ""well A1""
  ],
  ""tool_object_interaction"": [
    ""pipette吸取100微升液体并注入到A1孔中""
  ]
}
```","```json
{
  ""actions_performed"": [
    ""pipette liquid into a test tube"",
    ""place the test tube in a rack""
  ],
  ""objects_manipulated"": [
    ""pipette"",
    ""test tube"",
    ""test tube rack""
  ],
  ""tool_object_interaction"": [
    ""pipette tip inserts into test tube"",
    ""test tube is placed into the orange rack""
  ]
}
```"
