id,video,question,options,gold,C0_pred (video),C0_ok,C1_pred (note),C1_ok,C2_pred (v+n),C2_ok,C4_pred (v+ASR),C4_ok,disagreement_type,note_text (first 280 chars)
63662_clip_5_materials,clip_5,Which material appears in this experimental step?,A:cells at 70 to 80% confluence | B:cell debris | C:trypsin solution | D:confluent monolayer,A,C,✗,A,✓,A,✓,A,✓,note_better_than_video (C1>C0),"```json {   ""materials_visible"": [     ""Petri dish""   ],   ""labels_seen"": [     ""Culture conditions: 28 °C\n5% atmospheric CO₂"",     ""WJH""   ],   ""container_descriptions"": [     {       ""shape"": ""Circular"",       ""color"": ""Clear"",       ""size"": ""Standard Petri dish size""     }   ..."
63662_clip_9_materials,clip_9,What material appears in this procedure?,A:cell suspension | B:trypsin solution | C:fixed cells | D:cells at 90 to 100% confluence,D,B,✗,B,✗,B,✗,D,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""test tube"",     ""pipette tip"",     ""plastic container""   ],   ""labels_seen"": [     """"   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""transparent"",       ""size"": ""small""     },     {       ""shape"": ""cy..."
63662_clip_36_materials,clip_36,What material appears in this procedure?,A:goat anti-mouse IgG secondary antibody | B:mouse anti-wsp polyclonal antibody | C:bovine serum albumin (BSA) | D:rabbit anti-WSP polyclonal antibody,B,A,✗,A,✗,A,✗,B,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""Mouse serum: 1:1000 dilution in PBS""   ],   ""labels_seen"": [     ""Mouse serum: 1:1000 dilution in PBS"",     ""1 X PBS缓冲液""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""white"",       ""size"": ""medium""  ..."
55979_clip_31_materials,clip_31,What material appears in the researcher's work in this video clip?,A:Terrific Broth | B:SOC medium | C:LB broth | D:LLB,D,B,✗,B,✗,B,✗,D,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""pipette tip"",     ""syringe"",     ""test tube""   ],   ""labels_seen"": [     ""Jove""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""transparent"",       ""size"": ""small""     },     {       ""shape"": ""cylindri..."
55979_clip_30_materials,clip_30,What material appears in this procedure?,A:DEPC-treated water | B:room temperature nucleus-free water | C:nuclease-free water | D:distilled water,B,C,✗,C,✗,C,✗,B,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""Promega PureLink PCR Clean-Up Kit""   ],   ""labels_seen"": [     ""Promega PureLink PCR Clean-Up Kit""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""white"",       ""size"": ""small""     },     {       ""shap..."
55979_clip_35_materials,clip_35,What material appears in the researcher's work in this video clip?,A:silica gel | B:agarose pellets | C:beads | D:ion exchange resin,C,B,✗,D,✗,D,✗,C,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""SpotON""   ],   ""labels_seen"": [     ""SpotON"",     ""FAH28301"",     ""R94"",     ""QR code""   ],   ""container_descriptions"": [     {       ""shape"": ""rectangular"",       ""color"": ""black"",       ""size"": ""small""     }   ],   ""substance_appearance"":..."
55979_clip_28_materials,clip_28,What material appears in this procedure?,A:elution buffer | B:priming buffer | C:wash buffer | D:TE buffer,B,A,✗,A,✗,A,✗,B,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [""silver metal components"", ""black plastic housing"", ""blue pipette tip""],   ""labels_seen"": [""jove""],   ""container_descriptions"": [     {       ""shape"": ""rectangular"",       ""color"": ""black"",       ""size"": ""small""     },     {       ""shape"": ""cylin..."
3039_clip_33_materials,clip_33,What material appears in this procedure?,A:zygomatic bone | B:silicone pad | C:jawbone | D:skull fragment,C,B,✗,C,✓,C,✓,C,✓,note_better_than_video (C1>C0),"```json {   ""materials_visible"": [     ""scalpel"",     ""forceps"",     ""surgical instruments""   ],   ""labels_seen"": [     ""jove""   ],   ""container_descriptions"": [     {       ""shape"": ""rectangular"",       ""color"": ""yellow"",       ""size"": ""small""     }   ],   ""substance_appearance""..."
3039_clip_11_materials,clip_11,What material appears in this procedure?,A:culture swabs | B:cognitive applicators | C:suture needles | D:cotton balls,B,A,✗,A,✗,A,✗,B,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [],   ""labels_seen"": [],   ""container_descriptions"": [     {       ""shape"": ""rectangular"",       ""color"": ""white"",       ""size"": ""medium""     }   ],   ""substance_appearance"": [] } ```"
3039_clip_28_materials,clip_28,Which material appears in this experimental step?,A:surgical area | B:incision site | C:skin surface | D:sterile drape,A,D,✗,D,✗,D,✗,D,✗,all_wrong,"```json {   ""materials_visible"": [     ""scissors"",     ""gloves"",     ""mesh netting"",     ""animal (not fully visible)""   ],   ""labels_seen"": [     ""jove""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""silver"",       ""size"": ""small""     }   ]..."
3039_clip_26_materials,clip_26,What material appears in this procedure?,A:gerbil | B:rat | C:guinea pig | D:mouse,D,D,✓,D,✓,D,✓,D,✓,all_agree_correct,"```json {   ""materials_visible"": [     ""Blue plastic tray"",     ""White gauze"",     ""Small rodent"",     ""Yellow tape"",     ""White syringe""   ],   ""labels_seen"": [],   ""container_descriptions"": [     {       ""shape"": ""rectangular"",       ""color"": ""blue"",       ""size"": ""small""     }..."
57131_clip_18_materials,clip_18,Which material appears in this experimental step?,A:Nipasol solution | B:Nipagen solution | C:Tween 20 solution | D:sodium azide solution,B,B,✓,B,✓,B,✓,B,✓,all_agree_correct,"```json {   ""materials_visible"": [     ""Nipagen"",     ""95% ETOH""   ],   ""labels_seen"": [     ""10% w/v Nipagen in 95% ETOH""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""transparent"",       ""size"": ""large""     },     {       ""shape"": ""cylin..."
57131_clip_9_materials,clip_9,What material appears in the researcher's work in this video clip?,A:nymphs | B:adults | C:larvae | D:yeast paste,B,D,✗,D,✗,D,✗,D,✗,all_wrong,"```json {   ""materials_visible"": [     ""Petri dish"",     ""Conical flask"",     ""Test tube"",     ""Beaker""   ],   ""labels_seen"": [     ""4 h Dark""   ],   ""container_descriptions"": [     {       ""shape"": ""Circular"",       ""color"": ""Clear"",       ""size"": ""Small""     },     {       ""sha..."
57131_clip_67_materials,clip_67,Which material appears in this experimental step?,A:tubulin-Gal4 larvae | B:white-eyed mutant larvae | C:breathless Gal4 experimental larvae | D:wild-type Drosophila larvae,C,C,✓,C,✓,C,✓,C,✓,all_agree_correct,"```json {   ""materials_visible"": [     ""control pupae"",     ""btl-GAL4>UAS uifRNAi larvae""   ],   ""labels_seen"": [     ""DAY 8: left - control pupae right - btl-GAL4>UAS uifRNAi larvae""   ],   ""container_descriptions"": [     {       ""shape"": ""flat"",       ""color"": ""red"",       ""siz..."
57131_clip_15_materials,clip_15,What material appears in the researcher's work in this video clip?,A:700 milliliters of distilled water | B:700 milliliters of phosphate-buffered saline | C:700 milliliters of deionized water | D:700 milliliters of tap water,C,C,✓,C,✓,C,✓,C,✓,all_agree_correct,"```json {   ""materials_visible"": [     ""Polyethylene (PE) sheet"",     ""Water""   ],   ""labels_seen"": [     ""jove"",     ""Apex"",     ""1400"",     ""1599.8 g""   ],   ""container_descriptions"": [     {       ""shape"": ""rectangular"",       ""color"": ""white"",       ""size"": ""small""     },    ..."
59992_clip_9_materials,clip_9,What material appears in this procedure?,A:yeast pellets | B:cultured cells | C:cultures | D:LB broth,C,A,✗,A,✗,B,✗,C,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""Box labeled 'Cytiva'""   ],   ""labels_seen"": [     ""Cytiva""   ],   ""container_descriptions"": [     {       ""shape"": ""Rectangular"",       ""color"": ""White"",       ""size"": ""Small""     }   ],   ""substance_appearance"": [     {       ""color"": ""Whi..."
59992_clip_32_materials,clip_32,What material appears in this procedure?,A:cell suspension | B:culture | C:broth | D:lysate,B,A,✗,C,✗,D,✗,B,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""Beaker"",     ""Funnel"",     ""Conical flask""   ],   ""labels_seen"": [     ""jove""   ],   ""container_descriptions"": [     {       ""shape"": ""Cylindrical"",       ""color"": ""Clear"",       ""size"": ""Medium""     },     {       ""shape"": ""Conical"",      ..."
59992_clip_41_materials,clip_41,What material appears in the researcher's work in this video clip?,A:novel diterpenoids | B:betulinic acid | C:cholesterol | D:vincristine,A,B,✗,D,✗,A,✓,A,✓,note_aug_helps (C2 lifts over C0),"```json {   ""materials_visible"": [     ""Petri dish"",     ""pipette"",     ""test tubes"",     ""test tube rack""   ],   ""labels_seen"": [     ""Bowman"",     ""K"",     ""M""   ],   ""container_descriptions"": [     {       ""type"": ""Petri dish"",       ""shape"": ""Circular"",       ""color"": ""Clear""..."
59992_clip_23_materials,clip_23,What material appears in this procedure?,A:sodium acetate | B:sodium bicarbonate | C:sodium lactate | D:one molar sodium pyruvate,D,D,✓,D,✓,D,✓,D,✓,all_agree_correct,"```json {   ""materials_visible"": [     ""1M Sodium Hydroxide""   ],   ""labels_seen"": [     ""1M Sodium Hydroxide""   ],   ""container_descriptions"": [     {       ""shape"": ""conical flask"",       ""color"": ""transparent"",       ""size"": ""large""     },     {       ""shape"": ""bottle"",       ..."
58743_clip_16_materials,clip_16,Which material appears in this experimental step?,A:deionized water | B:ethanol | C:mobile phase solution | D:phosphate buffer,C,A,✗,B,✗,C,✓,C,✓,note_aug_helps (C2 lifts over C0),"```json {   ""materials_visible"": [     ""Organic solvent"",     ""Glass vials""   ],   ""labels_seen"": [],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""transparent"",       ""size"": ""small""     },     {       ""shape"": ""cylindrical"",       ""color"": ""t..."
58743_clip_26_materials,clip_26,What material appears in the researcher's work in this video clip?,A:substrate | B:culture media | C:trypan blue | D:test organisms,D,B,✗,D,✓,D,✓,D,✓,note_better_than_video (C1>C0),"```json {   ""materials_visible"": [     ""pipette"",     ""test tubes"",     ""microcentrifuge tubes"",     ""petri dish"",     ""lab bench""   ],   ""labels_seen"": [     ""See text for details on preparing organisms and extracts""   ],   ""container_descriptions"": [     {       ""shape"": ""cylin..."
58743_clip_28_materials,clip_28,Which material appears in this experimental step?,A:sterile LB broth | B:Phosphate Buffered Saline (PBS) | C:tryptone broth | D:bacterial culture,D,D,✓,D,✓,D,✓,D,✓,all_agree_correct,"```json {   ""materials_visible"": [     ""Test tubes"",     ""Microcentrifuge tubes"",     ""Labware rack""   ],   ""labels_seen"": [     ""Cell density: 1 x 10^6 cells/mL""   ],   ""container_descriptions"": [     {       ""type"": ""Test tube"",       ""color"": ""transparent"",       ""size"": ""stan..."
58184_clip_14_materials,clip_14,What material appears in this procedure?,A:Lactated Ringer's solution | B:water kept at 24±1°C | C:70% ethanol solution | D:0.1% sodium hypochlorite solution,B,B,✓,C,✗,B,✓,B,✓,note_only_wrong (compression lost info),"```json {   ""materials_visible"": [""dampened sawdust""],   ""labels_seen"": [""2. Dampened Sawdust""],   ""container_descriptions"": [     {       ""shape"": ""rectangular"",       ""color"": ""transparent"",       ""size"": ""large""     }   ],   ""substance_appearance"": [     {       ""color"": ""brow..."
58184_clip_18_materials,clip_18,Which material appears in this experimental step?,A:microcentrifuge tubes | B:mice | C:handling cones | D:rats,B,B,✓,B,✓,B,✓,B,✓,all_agree_correct,"```json {   ""materials_visible"": [     ""mice""   ],   ""labels_seen"": [     ""4. Empty Cage""   ],   ""container_descriptions"": [     {       ""shape"": ""rectangular"",       ""color"": ""transparent"",       ""size"": ""large""     },     {       ""shape"": ""rectangular"",       ""color"": ""transpar..."
58184_clip_4_materials,clip_4,What material appears in the researcher's work in this video clip?,A:paper bedding | B:aspen shavings | C:cellulose fiber | D:fresh sawdust,D,B,✗,B,✗,B,✗,D,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [""wood shavings"", ""powder""],   ""labels_seen"": [""jove""],   ""container_descriptions"": [     {       ""shape"": ""rectangular"",       ""color"": ""transparent"",       ""size"": ""large""     },     {       ""shape"": ""cylindrical"",       ""color"": ""white"",       ..."
58184_clip_27_materials,clip_27,What material appears in the researcher's work in this video clip?,"A:ketamine hydrochloride | B:DMSO solution | C:putative therapeutic pharmacological agents | D:vehicle solution (e.g., 0.9% saline)",C,C,✓,C,✓,C,✓,C,✓,all_agree_correct,"```json {   ""materials_visible"": [     ""Escitalopram""   ],   ""labels_seen"": [     ""Treatment Phase\nEscitalopram 15 mg/kg\ni.p. 3 wk\n1 administration/day""   ],   ""container_descriptions"": [     {       ""shape"": ""rectangular"",       ""color"": ""transparent"",       ""size"": ""large""  ..."
56248_clip_6_materials,clip_6,Which material appears in this experimental step?,A:DMEM culture medium | B:Lipofectamine 3000 transfection reagent | C:20 minutes room temperature incubated SRINA mixture | D:shRNA plasmid mixture,C,A,✗,B,✗,A,✗,C,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""Petri dish"",     ""Pipette tip"",     ""Yellow test tube rack"",     ""Blue storage box""   ],   ""labels_seen"": [     ""jove""   ],   ""container_descriptions"": [     {       ""shape"": ""Circular"",       ""color"": ""Clear"",       ""size"": ""Small""     }, ..."
56248_clip_9_materials,clip_9,What material appears in this procedure?,A:Lipofectamine transfection reagent | B:SIRNA mixture | C:DMEM culture medium | D:miRNA mimic,B,C,✗,C,✗,C,✗,B,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""Petri dish"",     ""Microscope slide"",     ""Test tube rack"",     ""Microcentrifuge tubes""   ],   ""labels_seen"": [     ""jove""   ],   ""container_descriptions"": [     {       ""shape"": ""Circular"",       ""color"": ""Clear"",       ""size"": ""Small""     ..."
56248_clip_20_materials,clip_20,What material appears in this procedure?,A:detached or dead cells floating in the medium | B:confluent cells attached to the bottom of the wells | C:microcarrier beads settled at the bottom | D:fungal ,B,B,✓,A,✗,B,✓,B,✓,note_only_wrong (compression lost info),"```json {   ""materials_visible"": [     ""Olympus microscope""   ],   ""labels_seen"": [     ""4X, 10X, or 20X magnification"",     ""Olympus""   ],   ""container_descriptions"": [     {       ""shape"": ""rectangular"",       ""color"": ""black"",       ""size"": ""small""     }   ],   ""substance_appe..."
56248_clip_13_materials,clip_13,Which material appears in this experimental step?,A:trypsin solution | B:cell lysate | C:cell suspensions | D:phosphate-buffered saline (PBS),C,A,✗,A,✗,A,✗,C,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""Petri dish"",     ""Test tube"",     ""Lab spatula"",     ""Red liquid""   ],   ""labels_seen"": [     ""jove""   ],   ""container_descriptions"": [     {       ""shape"": ""Circular with a flat base and a raised edge"",       ""color"": ""Clear"",       ""size""..."
55685_clip_55_materials,clip_55,What material appears in this procedure?,A:particle stabilizers | B:liquid phase precursors | C:gas phase precursors | D:aerosol carrier gas,C,D,✗,B,✗,D,✗,C,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [],   ""labels_seen"": [""100""],   ""container_descriptions"": [     {       ""shape"": ""rectangular"",       ""color"": ""blue"",       ""size"": ""small""     },     {       ""shape"": ""cylindrical"",       ""color"": ""silver"",       ""size"": ""medium""     }   ],   ""s..."
55685_clip_50_materials,clip_50,Which material appears in this experimental step?,A:PTFE Teflon tube | B:PFA tubing | C:silicone tubing | D:polyethylene transfer tube,A,A,✓,C,✗,C,✗,A,✓,other,"```json {   ""materials_visible"": [     ""Silicone tubing"",     ""Metal valve""   ],   ""labels_seen"": [     ""VALVE""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""silver"",       ""size"": ""small""     }   ],   ""substance_appearance"": [     {      ..."
55685_clip_31_materials,clip_31,What material appears in the researcher's work in this video clip?,A:aerosol flow | B:colloidal suspension | C:polystyrene latex spheres | D:nitrogen gas stream,A,C,✗,C,✗,A,✓,A,✓,note_aug_helps (C2 lifts over C0),"```json {   ""materials_visible"": [],   ""labels_seen"": [     ""TDS"",     ""AEROSOLIC CLASSIFIER"",     ""Model: 1000"",     ""Serial No.: 123456789"",     ""Date: 2023-04-05""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""white"",       ""size"": ""medi..."
2693_clip_16_materials,clip_16,What material appears in the researcher's work in this video clip?,A:cell freezing medium | B:DNase I solution | C:resuspended cells | D:Trypan blue solution,C,D,✗,D,✗,D,✗,C,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""test tube"",     ""pipette"",     ""microcentrifuge tubes""   ],   ""labels_seen"": [     ""jove""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""transparent"",       ""size"": ""small""     },     {       ""shape"":..."
2693_clip_26_materials,clip_26,What material appears in this procedure?,A:RPMI-1640 medium | B:protein pellets | C:cellular debris | D:cells,D,A,✗,A,✗,A,✗,D,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""DMEM Dulbecco's Modified Eagle Medium""   ],   ""labels_seen"": [     ""DMEM Dulbecco's Modified Eagle Medium"",     ""10938"",     ""Corning"",     ""3X wash"",     ""Centrifuge 5804 R""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindri..."
2693_clip_35_materials,clip_35,What material appears in this procedure?,A:EMEM | B:PBS | C:DMEM | D:RPMI 1640,C,B,✗,A,✗,A,✗,C,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""inCubafe""   ],   ""labels_seen"": [     ""inCubafe"",     ""THERMO SCIENTIFIC""   ],   ""container_descriptions"": [     {       ""shape"": ""rectangular"",       ""color"": ""red"",       ""size"": ""medium""     }   ],   ""substance_appearance"": [     {      ..."
2693_clip_27_materials,clip_27,Which material appears in this experimental step?,A:LB broth | B:DMEM | C:RPMI | D:PBS,B,B,✓,B,✓,B,✓,B,✓,all_agree_correct,"```json {   ""materials_visible"": [     ""DMEM""   ],   ""labels_seen"": [     ""DMEM"",     ""10938"",     ""Gibco"",     ""Autoclavable"",     ""Cytomix""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""red"",       ""size"": ""small""     },     {       ""sha..."
63501_clip_22_materials,clip_22,What material appears in the researcher's work in this video clip?,A:chromatin | B:histone | C:nucleosome | D:BSA (bovine serum albumin),B,D,✗,D,✗,D,✗,B,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""Millipore water""   ],   ""labels_seen"": [     ""Millipore"",     ""0.457""   ],   ""container_descriptions"": [     {       ""shape"": ""rectangular"",       ""color"": ""white"",       ""size"": ""small""     }   ],   ""substance_appearance"": [     {       ""c..."
63501_clip_17_materials,clip_17,Which material appears in this experimental step?,A:microscope slide | B:prepared flow cell | C:reaction chamber | D:syringe reservoir,B,B,✓,B,✓,B,✓,B,✓,all_agree_correct,"```json {   ""materials_visible"": [     ""Polyvinyl chloride (PVC) tubing""   ],   ""labels_seen"": [     ""jove""   ],   ""container_descriptions"": [     {       ""shape"": ""cylindrical"",       ""color"": ""clear"",       ""size"": ""small""     }   ],   ""substance_appearance"": [     {       ""col..."
63501_clip_19_materials,clip_19,What material appears in the researcher's work in this video clip?,A:Lambda DNA molecules | B:DNase I enzyme | C:Lambda phage particles | D:Plasmid DNA,A,D,✗,D,✗,D,✗,A,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""HPLC system components""   ],   ""labels_seen"": [     ""Jové""   ],   ""container_descriptions"": [     {       ""shape"": ""rectangular"",       ""color"": ""white"",       ""size"": ""medium""     }   ],   ""substance_appearance"": [     {       ""color"": ""tr..."
63501_clip_39_materials,clip_39,What material appears in this procedure?,A:Quantum dots | B:Streptavidin-coated beads | C:DNA curtain | D:Microfluidic flow cell,C,C,✓,C,✓,C,✓,C,✓,all_agree_correct,"```json {   ""materials_visible"": [     ""DNA""   ],   ""labels_seen"": [     ""DNA curtain can be extended for studying DNA"",     ""mDNA variant including replication and transcription.""   ],   ""container_descriptions"": [     {       ""shape"": ""rectangular"",       ""color"": ""white"",     ..."
63892_clip_29_materials,clip_29,What material appears in the researcher's work in this video clip?,A:surgical staples | B:skin incision | C:subcutaneous sutures | D:fascia closure sutures,B,D,✗,B,✓,B,✓,D,✗,other,"```json {   ""materials_visible"": [     ""Buprenorphine""   ],   ""labels_seen"": [     ""0.1 mg/kg buprenorphine was administered post-operatively""   ],   ""container_descriptions"": [],   ""substance_appearance"": [     {       ""material"": ""Buprenorphine"",       ""state"": ""liquid"",       ..."
63892_clip_12_materials,clip_12,What material appears in this procedure?,A:glycerol-moistened | B:iodine-treated | C:saline soaked | D:lactated Ringer's solution-soaked,C,A,✗,A,✗,A,✗,C,✓,asr_only (only ASR direct answer),"```json {   ""materials_visible"": [     ""sterile gloves"",     ""scalpels"",     ""forceps""   ],   ""labels_seen"": [     ""Drapes omitted for demonstration""   ],   ""container_descriptions"": [],   ""substance_appearance"": [     ""The substance appears to be tissue, likely from an animal, w..."
63892_clip_20_materials,clip_20,Which material appears in this experimental step?,A:anterior wall of the iliac artery | B:femoral artery wall | C:iliac vein wall | D:posterior wall of the iliac artery,D,B,✗,A,✗,B,✗,A,✗,all_wrong,"```json {   ""materials_visible"": [""tissue sample"", ""microscope slides"", ""forceps""],   ""labels_seen"": [""jove""],   ""container_descriptions"": [     {       ""shape"": ""flat"",       ""color"": ""transparent"",       ""size"": ""small""     }   ],   ""substance_appearance"": [     {       ""color""..."
